Nome;id;file_staz;file_ARPA
Arsago Cimitero;10;./Dati_SEA/1009122024.his.txt;Arsago Cimitero 2024.txt
Casorate - V. M. Rosa;49;./Dati_SEA/4909122024.his.txt;misura_ARPA_Monterosa_9_12_24.txt
Ferno - via Moncucco;6;./Dati_SEA/0604122024.his.txt;Ferno 2024.txt
Lonate Cimitero (MM);1505;./Dati_SEA/150504122024.his.txt;misura_ARPA_Lonate_cimitero_4_12_24.txt
Lonate - via S. Savina;8;./Dati_SEA/0804122024.his.txt;misura_ARPA_Lonate_SSavina_4_12_24.txt
S. Savina Mobile;1518;;
Somma - Morgampo;1519;./Dati_SEA/Temporanea/151910122024.his.txt;
Somma - V. Cabagaggio;45;./Dati_SEA/4517092024.his.txt;misura_ARPA_Cabagaggio_17_9_24.txt
Somma - Maddalena;24;./Dati_SEA/2417092024.his.txt;misura_ARPA_Maddalena_17_9_24.txt
Somma - Magazzino;3;./Dati_SEA/0309122024.his.txt;misura_ARPA_Magazzino_9_12_24
Somma - Rodari;1;;
Turbigo - Via Plati;1515;./Dati_SEA/151509122024.his.txt;Turbigo 2024.txt
